msn,gtin,identifierExists,customLabel2,customLabel3,customLabel4,promotionId,isGoogleActive,isFacebookActive,isCriteoActive,availability
MSN153VNDGRJK3,,FALSE,activated,low,Non_Essential,,0,0,0,In Stock
MSN153VNDGWYK3,,FALSE,activated,low,Non_Essential,,0,0,0,In Stock
MSN153VNDGXJK3,,FALSE,activated,super low,Non_Essential,,0,0,0,In Stock
MSN153VNDGZJK3,,FALSE,activated,low,Non_Essential,,0,0,0,In Stock
MSN153VNDJ7YK3,,TRUE,activated,New,Non_Essential,NOV125,0,0,0,In Stock
MSN153VNDJDYK3,,TRUE,activated,New,SP>2500,NOV125,0,0,0,In Stock
MSN153VNDJEYK3,,TRUE,activated,New,SP>2500,NOV125,0,0,0,In Stock
MSN153VNDJGYK3,,TRUE,activated,New,SP>2500,NOV125,0,0,0,In Stock
MSN153VNDM1YK3,818255029307,TRUE,activated,low,Non_Essential,NOV125,1,1,1,Out Of Stock
MSN153VNDMJYK3,606449121134,TRUE,activated,High,Non_Essential,NOV125,1,1,1,In Stock
MSN153VNDQ6YK3,,TRUE,activated,Medium,Non_Essential,,0,1,1,In Stock
MSN153VNDQ7JK3,,FALSE,activated,super low,Non_Essential,,0,0,0,In Stock
MSN153VNDQDJK3,,FALSE,activated,low,Non_Essential,,0,0,0,In Stock
MSN153VNDQEJK3,,FALSE,activated,low,Non_Essential,,0,0,0,In Stock
MSN153VNDQVYK3,763649132395,FALSE,activated,new,Non_Essential,,1,1,1,Out Of Stock
MSN153VNDQZJK3,,FALSE,activated,low,Non_Essential,,0,0,0,In Stock
MSN153VNDV4YK3,,TRUE,activated,super low,Essential,NOV125,1,1,1,Out Of Stock
MSN153VNDXOJK3,,FALSE,activated,low,SP>2500,NOV125,1,1,1,In Stock
MSN153VNEM8JK3,,FALSE,activated,low,Non_Essential,NOV125,0,0,0,Out Of Stock
MSN153VNEN2JK3,784027283447,TRUE,activated,Low,Essential,NOV125,1,1,1,Out Of Stock
MSN153VNG7JJK3,6935364092740,TRUE,activated,High,Non_Essential,NOV125,1,0,1,In Stock
MSN153VNGJDYK3,,FALSE,activated,low,Non_Essential,,0,0,0,Out Of Stock
MSN153VNGP3YK3,,FALSE,activated,low,Non_Essential,NOV125,0,0,0,In Stock
MSN153VNGP4YK3,,FALSE,activated,super low,Non_Essential,NOV125,0,0,0,In Stock
MSN153VNGVYJK3,,FALSE,activated,low,Non_Essential,NOV125,0,0,0,In Stock
MSN153VNGZJJK3,4960999817729,TRUE,activated,low,Non_Essential,,1,1,1,Out Of Stock
MSN153VNGZOJK3,4960999818672,TRUE,activated,low,Non_Essential,,1,1,1,Out Of Stock
MSN153VNL84XK3,,FALSE,activated,low,Non_Essential,SEPT150,0,0,0,In Stock
MSN153VNL8RXK3,,FALSE,activated,low,Non_Essential,SEPT150,0,0,0,In Stock
MSN153VNL8XXK3,,FALSE,activated,low,Non_Essential,SEPT150,0,0,0,In Stock
MSN153VNL8ZXK3,,FALSE,activated,low,Non_Essential,SEPT150,0,0,0,In Stock
MSN153VNLYLLK3,,FALSE,activated,ea,extra addition,,1,1,1,In Stock
MSN153VNM22LK3,,FALSE,activated,high,Non_Essential,,0,0,0,In Stock
MSN153VNM24XK3,,FALSE,activated,low,Non_Essential,,0,0,0,In Stock
MSN153VNM2LLK3,,False,activated,Medium,Non_Essential,,0,0,0,In Stock
MSN153VNM2MLK3,,FALSE,activated,low,Non_Essential,,0,0,0,In Stock
MSN153VNM2RXK3,,False,activated,Medium,Non_Essential,,0,0,0,In Stock
MSN153VNM2WLK3,,FALSE,activated,low,Non_Essential,,0,0,0,In Stock
MSN153VNM2XXK3,,FALSE,activated,low,Non_Essential,,0,0,0,In Stock
MSN153VNM2ZXK3,,False,activated,Medium,Non_Essential,,0,0,0,In Stock
MSN153VNM66LK3,,FALSE,activated,low,Non_Essential,,0,0,0,In Stock
MSN153VNM67XK3,,FALSE,activated,low,Non_Essential,,0,0,0,In Stock
MSN153VNM6DXK3,,FALSE,activated,low,Non_Essential,,0,0,0,In Stock
MSN153VNM6EXK3,,False,activated,High,Non_Essential,,0,0,0,In Stock
MSN153VNM6GXK3,,FALSE,activated,low,Non_Essential,,0,0,0,In Stock
MSN153VNM6PLK3,,FALSE,activated,low,Non_Essential,,0,0,0,In Stock
MSN153VNM6VLK3,,FALSE,activated,low,Non_Essential,,0,0,0,In Stock
MSN153VNM82LK3,,FALSE,activated,low,Non_Essential,,0,0,0,In Stock
MSN153VNM88LK3,,FALSE,activated,low,Non_Essential,,0,0,0,In Stock
MSN153VNM8LLK3,,FALSE,activated,low,Non_Essential,,0,0,0,In Stock
MSN153VNM8WLK3,,FALSE,activated,low,Non_Essential,,0,0,0,In Stock
MSN153VNMLDXK3,,FALSE,activated,low,Non_Essential,,0,0,0,In Stock
MSN153VNMLEXK3,,False,activated,Medium,Non_Essential,,0,0,0,In Stock
MSN153VNMLXXK3,,False,activated,Medium,Non_Essential,,0,0,0,In Stock
MSN153VNMLZXK3,,FALSE,activated,high,Non_Essential,,0,0,0,In Stock
MSN153VNMN0XK3,,False,activated,High,Non_Essential,,0,0,0,In Stock
MSN153VNMN7XK3,,False,activated,High,Non_Essential,,0,0,0,In Stock
MSN153VNMNDXK3,,FALSE,activated,low,Non_Essential,,0,0,0,In Stock
MSN153VNMNGXK3,,False,activated,High,Non_Essential,,0,0,0,In Stock
MSN153VNMNNLK3,,FALSE,activated,low,Non_Essential,,0,0,0,In Stock
MSN153VNMNPLK3,,False,activated,High,Non_Essential,,0,0,0,In Stock
MSN153VNMNVLK3,,FALSE,activated,low,Non_Essential,,0,0,0,In Stock
MSN153VNMV0XK3,,False,activated,High,Non_Essential,,0,0,0,In Stock
MSN153VNMV7XK3,,False,activated,High,Non_Essential,,0,0,0,In Stock
MSN153VNMVGXK3,,FALSE,activated,low,Non_Essential,,0,0,0,In Stock
MSN153VNMVOLK3,,False,activated,High,Non_Essential,,0,0,0,In Stock
MSN153VNMVQXK3,,FALSE,activated,low,Non_Essential,,0,0,0,In Stock
MSN153VNMW6LK3,,FALSE,activated,low,Non_Essential,,0,0,0,In Stock
MSN153VNMWEXK3,,False,activated,Medium,Non_Essential,,0,0,0,In Stock
MSN153VNMWLLK3,,False,activated,Medium,Non_Essential,,0,0,0,In Stock
MSN153VNMWMLK3,,False,activated,Medium,Non_Essential,,0,0,0,In Stock
MSN153VNMWRXK3,,FALSE,activated,high,Non_Essential,,0,0,0,In Stock
MSN153VNMWWLK3,,False,activated,Medium,Non_Essential,,0,0,0,In Stock
MSN153VNMWXXK3,,False,activated,Medium,Non_Essential,,0,0,0,In Stock
MSN153VNMWZXK3,,False,activated,Medium,Non_Essential,,0,0,0,In Stock
MSN153VNMYYLK3,,FALSE,activated,new,Non_Essential,,0,0,0,In Stock
MSN153VNPGNXK3,,FALSE,activated,Ultra High,Non_Essential,NOV125,0,0,0,Out Of Stock
MSN153VNPZLXK3,,FALSE,activated,new,Non_Essential,,1,1,1,Out Of Stock
MSN153VNPZWXK3,,TRUE,activated,low,Non_Essential,,1,1,1,In Stock
MSN153VNQ2DJK3,,FALSE,activated,low,Non_Essential,,0,0,0,Out Of Stock
MSN153VNQ2EJK3,,FALSE,activated,low,Non_Essential,,0,0,0,Out Of Stock
MSN153VNQ2XJK3,,FALSE,activated,low,Non_Essential,,0,0,0,Out Of Stock
MSN153VNQ2ZJK3,,FALSE,activated,low,Non_Essential,,0,0,0,Out Of Stock
MSN153VNQ3MJK3,,FALSE,activated,low,Non_Essential,,0,0,0,In Stock
MSN153VNQ8MYK3,,FALSE,activated,low,SP>2500,NOV125,1,1,1,In Stock
MSN153VNV7NXK3,,TRUE,activated,medium,Non_Essential,1,1,1,1,In Stock
MSN153VNV8OXK3,,FALSE,activated,low,Non_Essential,,0,0,0,In Stock
MSN153VNVMLLK3,,TRUE,activated,Super Low,Non_Essential,NOV125,1,1,1,In Stock
MSN153VNVMMLK3,,TRUE,activated,Super Low,Non_Essential,NOV125,1,1,1,In Stock
MSN153VNVMWLK3,,TRUE,activated,Super Low,extra addition,,1,1,1,In Stock
MSN153VNW6OLK3,,TRUE,activated,Low,SR Overseas,,1,1,1,Out Of Stock
MSN153VNWMNLK3,,FALSE,activated,low,SR Overseas,,0,0,0,In Stock
MSN153VNWMPLK3,,FALSE,activated,low,SR Overseas,,1,1,1,Out Of Stock
MSN153VNWMVLK3,,FALSE,activated,new,SR Overseas,,0,0,0,In Stock
MSN153VNY08YK3,,FALSE,activated,low,Non_Essential,,0,0,0,In Stock
MSN153VNY0QYK3,,FALSE,activated,super low,Non_Essential,,0,0,0,In Stock
MSN153VNY0YYK3,,FALSE,activated,high,Non_Essential,,0,0,0,In Stock
MSN153VNY4EYK3,,FALSE,activated,low,SR Overseas,,0,0,0,In Stock
MSN153VNY4NJK3,,FALSE,activated,high,Non_Essential,,0,0,0,Out Of Stock
MSN153VNY4RYK3,,FALSE,activated,low,SR Overseas,,0,0,0,In Stock
MSN153VNY4XYK3,,FALSE,activated,low,SR Overseas,,0,0,0,In Stock
MSN153VNY4ZYK3,,TRUE,activated,Low,SR Overseas,,1,1,1,Out Of Stock
MSN153VNYG0YK3,,False,activated,low,Non_Essential,,0,0,0,In Stock
MSN153VNYGQYK3,,FALSE,activated,Ultra High,low visits,,0,0,0,In Stock
MSN153VNYMVYK3,,FALSE,activated,low,Non_Essential,,0,0,0,Out Of Stock
MSN153VNYNVYK3,,TRUE,activated,low,Non_Essential,NOV125,0,1,1,In Stock
MSN153VNYQ3JK3,,FALSE,activated,low,Non_Essential,,0,0,0,In Stock
MSN153VNYQ4JK3,,FALSE,activated,new,Non_Essential,,0,0,0,In Stock
MSN153VNYQJJK3,,FALSE,activated,low,Non_Essential,,0,0,0,In Stock
MSN153VNYQRJK3,,FALSE,activated,low,Non_Essential,,0,0,0,In Stock
MSN153VNYV0JK3,,TRUE,activated,High,Non_Essential,,1,1,1,In Stock
MSN153VNYVQJK3,,TRUE,activated,High,Non_Essential,,1,1,1,In Stock
MSN153VNYWEJK3,6666651469142,TRUE,activated,super low,SP>2500,NOV125,0,0,0,In Stock
MSN153VNYWZJK3,6666651474580,TRUE,activated,super low,SP>2500,NOV125,0,0,0,In Stock
MSN153VNZ0PYK3,5035048651131,TRUE,activated,high,low visits,NOV125,1,1,1,In Stock
MSN153VNZ0VYK3,5035048692998,TRUE,activated,Low,Non_Essential,NOV125,0,0,0,In Stock
MSN153VNZ76YK3,,FALSE,activated,low,Non_Essential,,0,0,0,Out Of Stock
MSN153VNZ7LYK3,,FALSE,activated,low,Non_Essential,,0,0,0,Out Of Stock
MSN153VNZ7MYK3,,FALSE,activated,low,Non_Essential,,0,0,0,Out Of Stock
MSN153VNZ7NYK3,,TRUE,activated,Super Low,Non_Essential,,1,1,1,Out Of Stock
MSN153VNZZ4JK3,8718696818121,TRUE,activated,high,Non_Essential,,0,0,0,In Stock
MSN153VNZZRJK3,8718699697174,TRUE,activated,low,Non_Essential,,0,0,0,In Stock
MSN153VP000XK3,,FALSE,activated,low,Non_Essential,,0,0,0,In Stock
MSN153VP00DXK3,,FALSE,activated,low,Non_Essential,,0,0,0,In Stock
MSN153VP00GXK3,,FALSE,activated,low,Non_Essential,,0,0,0,In Stock
MSN153VP00NLK3,,False,activated,High,Non_Essential,,0,0,0,In Stock
MSN153VP00PLK3,,FALSE,activated,low,Non_Essential,,0,0,0,In Stock
MSN153VP00VLK3,,False,activated,High,Non_Essential,,0,0,0,In Stock
MSN153VP066XK3,,FALSE,activated,super low,Essential,NOV125,1,1,1,Out Of Stock
MSN153VP06MXK3,,FALSE,activated,super low,Essential,NOV125,1,1,1,Out Of Stock
MSN153VP06RLK3,,FALSE,activated,super low,Essential,NOV125,1,1,1,Out Of Stock
MSN153VP06XLK3,,TRUE,activated,Low,Essential,NOV125,1,1,1,Out Of Stock
MSN153VP06ZLK3,,TRUE,activated,Low,Essential,NOV125,1,1,1,Out Of Stock
MSN153VP0P7LK3,,FALSE,activated,new,Essential,,0,0,0,In Stock
MSN153VP0PDLK3,,FALSE,activated,super low,Medserve,,0,0,0,In Stock
MSN153VP0PELK3,,FALSE,activated,new,Medserve,,0,0,0,In Stock
MSN153VP0QOLK3,,FALSE,activated,low,Non_Essential,,0,0,0,In Stock
MSN153VP0V6XK3,,FALSE,activated,new,Essential,,0,0,0,In Stock
MSN153VP0VMXK3,,FALSE,activated,new,Medserve,,0,0,0,In Stock
MSN153VP0VVXK3,,FALSE,activated,new,Medserve,,0,0,0,In Stock
MSN153VP0VXLK3,,FALSE,activated,new,Medserve,,0,0,0,In Stock
MSN153VP1WYLK3,,FALSE,activated,new,Medserve,,1,1,1,Out Of Stock
MSN153VP21ELK3,,FALSE,activated,low,Non_Essential,,0,0,0,In Stock
MSN153VP2ONXK3,4015630067022,TRUE,activated,super low,Medserve,,1,1,1,In Stock
MSN153VP2P4LK3,,FALSE,activated,low,Non_Essential,,0,0,0,In Stock
MSN153VP2PWXK3,,FALSE,activated,super low,Non_Essential,NOV125,1,1,1,In Stock
MSN153VP306XK3,,False,activated,high,Non_Essential,,0,0,0,In Stock
MSN153VP30ELK3,,FALSE,activated,low,Non_Essential,,0,0,0,In Stock
MSN153VP30LXK3,,FALSE,activated,low,Non_Essential,,0,0,0,In Stock
MSN153VP30RLK3,,FALSE,activated,low,Non_Essential,,0,0,0,In Stock
MSN153VP30XLK3,,FALSE,activated,low,Non_Essential,,0,0,0,In Stock
MSN153VP30ZLK3,,FALSE,activated,low,Non_Essential,,0,0,0,In Stock
MSN153VP372XK3,,FALSE,activated,new,Non_Essential,,0,0,0,In Stock
MSN153VP374LK3,,FALSE,activated,low,Non_Essential,,0,0,0,In Stock
MSN153VP37LXK3,,FALSE,activated,low,Non_Essential,,0,0,0,In Stock
MSN153VP37XLK3,,TRUE,activated,New,low visits,,0,0,0,In Stock
MSN153VP3D2XK3,,False,activated,low,Non_Essential,,0,0,0,In Stock
MSN153VP3DLXK3,,FALSE,activated,low,Non_Essential,,0,0,0,In Stock
MSN153VP3DWXK3,,FALSE,activated,low,Non_Essential,,0,0,0,In Stock
MSN153VP3E2XK3,,TRUE,activated,Low,Non_Essential,NOV125,1,1,1,Out Of Stock
MSN153VP3E8XK3,,TRUE,activated,Low,Non_Essential,,1,1,1,Out Of Stock
MSN153VP3G4LK3,,FALSE,activated,low,Non_Essential,,0,0,0,In Stock
MSN153VP3G6XK3,,FALSE,activated,low,Non_Essential,,0,0,0,In Stock
MSN153VP3GLXK3,,FALSE,activated,low,Non_Essential,,0,0,0,In Stock
MSN153VP3GMXK3,,FALSE,activated,high,Non_Essential,,0,0,0,In Stock
MSN153VP3GRLK3,,False,activated,Low,Non_Essential,,0,0,0,In Stock
MSN153VP3GWXK3,,False,activated,Low,Non_Essential,,0,0,0,In Stock
MSN153VP3Q6XK3,,FALSE,activated,low,Non_Essential,,0,0,0,In Stock
MSN153VP3QDLK3,,FALSE,activated,low,Non_Essential,,0,0,0,In Stock
MSN153VP3QELK3,,False,activated,Low,Non_Essential,,0,0,0,In Stock
MSN153VP3QMXK3,,False,activated,Low,Non_Essential,,0,0,0,In Stock
MSN153VP3QNXK3,,FALSE,activated,low,Non_Essential,,0,0,0,In Stock
MSN153VP3QVXK3,,FALSE,activated,new,Non_Essential,,0,0,0,In Stock
MSN153VP3Y6XK3,,FALSE,activated,high,Non_Essential,,0,0,0,In Stock
MSN153VP3YDLK3,,FALSE,activated,low,Non_Essential,,0,0,0,In Stock
MSN153VP3YELK3,,FALSE,activated,super low,Non_Essential,,0,0,0,In Stock
MSN153VP3YNXK3,,FALSE,activated,super low,Non_Essential,,0,0,0,In Stock
MSN153VP3YPXK3,,FALSE,activated,new,Non_Essential,,0,0,0,In Stock
MSN153VP3YZLK3,,FALSE,activated,low,Non_Essential,,0,0,0,In Stock
MSN153VP3Z2XK3,,FALSE,activated,high,Non_Essential,,0,0,0,In Stock
MSN153VP4GMXK3,,TRUE,activated,Low,Non_Essential,,1,1,1,Out Of Stock
MSN153VP770XK3,,FALSE,activated,super low,Medserve,,0,0,0,In Stock
MSN153VP77NLK3,,FALSE,activated,low,Medserve,,0,0,0,In Stock
MSN153VP77VLK3,,FALSE,activated,low,Medserve,,0,0,0,In Stock
MSN153VP7GOLK3,,FALSE,activated,super low,Medserve,,0,0,0,In Stock
MSN153VP7XLLK3,,FALSE,activated,super low,SP>2500,NOV125,0,0,0,In Stock
MSN153VP7ZEXK3,748927059861,FALSE,activated,new,Non_Essential,,1,1,1,Out Of Stock
MSN153VP8MYXK3,,FALSE,activated,new,Non_Essential,,0,0,0,In Stock
MSN153VPD00XK3,,FALSE,activated,low,Non_Essential,,0,0,0,In Stock
MSN153VPD01LK3,,FALSE,activated,low,Non_Essential,,0,0,0,In Stock
MSN153VPD0JLK3,,False,activated,High,Non_Essential,,0,0,0,In Stock
MSN153VPD0OLK3,,FALSE,activated,low,Non_Essential,,0,0,0,In Stock
MSN153VPD44XK3,,FALSE,activated,super low,Non_Essential,NOV125,0,0,0,In Stock
MSN153VPD4RXK3,,FALSE,activated,low,Non_Essential,NOV125,0,0,0,In Stock
MSN153VPD4XXK3,,FALSE,activated,low,Non_Essential,NOV125,0,0,0,In Stock
MSN153VPD4ZXK3,,FALSE,activated,low,SP>2500,NOV125,0,0,0,In Stock
MSN153VPD67LK3,,FALSE,activated,low,Non_Essential,,0,0,0,In Stock
MSN153VPDDGXK3,,FALSE,activated,low,Non_Essential,NOV125,0,0,0,Out Of Stock
MSN153VPDG0XK3,,FALSE,activated,low,Non_Essential,,0,0,0,In Stock
MSN153VPDGGXK3,,FALSE,activated,new,Non_Essential,,0,0,0,Out Of Stock
MSN153VPDGPLK3,,FALSE,activated,low,Non_Essential,,0,0,0,In Stock
MSN153VPDGQXK3,,FALSE,activated,low,Non_Essential,,0,0,0,In Stock
MSN153VPDGYXK3,,FALSE,activated,low,Non_Essential,,0,0,0,In Stock
MSN153VPDPOXK3,,FALSE,activated,low,Essential,,0,0,0,In Stock
MSN153VPDREXK3,8906046712285,TRUE,activated,low,Non_Essential,,0,0,0,Out Of Stock
MSN153VPDRZXK3,,FALSE,activated,low,Non_Essential,,0,0,0,In Stock
MSN153VPG82XK3,,FALSE,activated,high,Non_Essential,,0,0,0,In Stock
MSN153VPG88XK3,,FALSE,activated,low,Non_Essential,,0,0,0,In Stock
MSN153VPGR4XK3,,TRUE,activated,Low,Non_Essential,1,1,0,1,Out Of Stock
MSN153VPGRRXK3,,TRUE,activated,Low,Non_Essential,1,1,0,1,Out Of Stock
MSN153VPJN4XK3,,TRUE,activated,High,fb catalogue sale,1,1,1,1,In Stock
MSN153VPQZ4XK3,,TRUE,activated,Low,Non_Essential,,1,1,1,Out Of Stock
MSN153VPR26XK3,,FALSE,activated,low,UtilitySuper,,0,0,0,In Stock
MSN153VPR2DLK3,,FALSE,activated,low,UtilitySuper,,0,0,0,In Stock
MSN153VPR2ELK3,,FALSE,activated,high,UtilitySuper,,0,0,0,In Stock
MSN153VPR2NXK3,,FALSE,activated,low,UtilitySuper,,0,0,0,In Stock
MSN153VPR2PXK3,,FALSE,activated,low,UtilitySuper,,0,0,0,In Stock
MSN153VPR8XLK3,,FALSE,activated,low,Non_Essential,,0,0,0,In Stock
MSN153VPR8ZLK3,,FALSE,activated,high,Non_Essential,,0,0,0,In Stock
MSN153VPRO2LK3,,FALSE,activated,new,UtilitySuper,,0,0,0,In Stock
MSN153VPROLLK3,,FALSE,activated,medium,UtilitySuper,,0,0,0,In Stock
MSN153VPROMLK3,,FALSE,activated,high,UtilitySuper,,0,0,0,In Stock
MSN153VPROWLK3,,FALSE,activated,high,UtilitySuper,,0,0,0,In Stock
MSN153VPRW7LK3,,FALSE,activated,low,UtilitySuper,,0,0,0,In Stock
MSN153VPRWDLK3,,FALSE,activated,low,UtilitySuper,,0,0,0,In Stock
MSN153VPRWELK3,,FALSE,activated,high,UtilitySuper,,0,0,0,In Stock
MSN153VPWEOXK3,,FALSE,activated,low,Non_Essential,,0,0,0,In Stock
MSN153VPWOMXK3,,FALSE,activated,ea,extra addition,,0,0,0,Out Of Stock
